,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
41,卮言Trinity,id=1868520197&refer_flag=1001015010_,['卮言Trinity'],? 3,?2,2018-10-13 13:30,,"#肯德基皮卡丘# @肯德基
2017与2018唯二两次在肯德基购买套餐
都是为了皮卡丘
#汉堡王# 的玩具什么时候可以优秀一点
@汉堡王中国 2北京·北京大学",3.0,False
42,Summer-么么么,id=2384993017&refer_flag=1001015010_,"['Summer-么么么', '微博会员']",? 1,?1,2018-10-13 16:09,,差点儿忘记你有多美呢 2北京·北京大学,4.0,False
43,IrisFjh,id=3627265230&refer_flag=1001015010_,['IrisFjh'],? 9,?7,2018-10-13 11:01,,"新生舞会之夜?
?不会拍照还一直猛拍 我删了177张丑照 流泪
跳舞is碰碰车 还非搂着我转圈圈 别人是绅士距离 就他拉着我贴在他身上 贼傻 看到好多漂亮小姐姐 幸福
中途偷溜 在黑黑的巷子追跑 丑流氓把我抱起来扛在肩膀上跑 二刷无双 午夜的天桥上还被公主抱了
嘿嘿( ?? ?) 2北京·北京大学",9.0,False
0,做自律的人,id=6435946875&refer_flag=1001015010_,['做自律的人'],?评论,?1,2018-10-13 16:07,HUAWEI Mate 10,北大光华117班合影 2北京·北京大学,3.0,False
1,花漫漫里晒太阳的ADA子,id=2845256264&refer_flag=1001015010_,['花漫漫里晒太阳的ADA子'],?评论,?赞,2018-10-13 20:23,,"潜意识呈现到意识层面的表现
被叫做命运
每个人每个选择都存在趋利性
We make our own futures ,
and then call them fate . 2北京·北京大学",0.0,False
2,女儿控,id=1400401902&refer_flag=1001015010_,"['女儿控', '']",?评论,?1,2018-10-13 14:29,,钱理群、黄子平、陈平原“三剑客”再聚首“漫谈文化”三十年@领读文化 @北京大学未名讲坛 2北京·北京大学,3.0,False
3,逐梦天涯39,id=5287285394&refer_flag=1001015010_,['逐梦天涯39'],?评论,?赞,2018-10-13 18:16,华为手机 畅享玩不停,"#今日贴纸打卡#
张维迎老师的经济学原理蹭课 2北京·北京大学",1.0,False
4,金角大王头上当然有犄角,id=2062127734&refer_flag=1001015010_,['金角大王头上当然有犄角'],?评论,?6,2018-10-13 18:08,,天呐我们有猫了！！ 2北京·北京大学,1.0,False
5,曌宮闈,id=6746455559&refer_flag=1001015010_,['曌宮闈'],?评论,?赞,2018-10-13 09:29,,北大展出的“犍陀罗的微笑—巴基斯坦古迹巡礼展”，犍陀罗艺术向西影响了阿富汗的巴米扬石窟，向东则越过葱岭进入塔里木盆地乃至中原地区，对北魏时期的佛教造型产生重要影响，又经朝鲜进入日本，影响了日本飞鸟时期时的建筑、雕刻，同时向南进入缅甸、暹罗、交趾等地，可见犍陀罗文化对佛教艺术的影响 ...展开全文c,9.0,False
6,Gastronomer,id=6232106994&refer_flag=1001015010_,['Gastronomer'],?评论,?赞,2018-10-13 15:40,,"不仅仅是一家涮肉那样简单呀
仿佛又回到了大一时的自己
2北京·北门涮肉(南锣鼓巷) 2北京·北京大学 LGastronomer的微博视频",0.0,False
7,靚妮妮,id=6754182234&refer_flag=1001015010_,['靚妮妮'],?评论,?赞,2018-10-13 19:20,,2北京·北京大学,1.0,False
8,Greta_Z,id=1779261902&refer_flag=1001015010_,"['Greta_Z', '']",?评论,?赞,2018-10-13 17:11,,别人家的大学 2北京·北京大学,4.0,False
9,萧樱残雪,id=2506558485&refer_flag=1001015010_,['萧樱残雪'],?评论,?赞,2018-10-13 15:11,OPPO随光而变R17,周末来参加读书会 2北京·北京大学,3.0,False
10,金鑫_Dream,id=2219205930&refer_flag=1001015010_,"['金鑫_Dream', '', '微博会员']",?评论,?赞,2018-10-13 19:02,,期待杨澜老师@杨澜   2北京·北京大学,1.0,False
11,Vannie每天都要加油鸭,id=6298366850&refer_flag=1001015010_,['Vannie每天都要加油鸭'],?评论,?1,2018-10-13 19:47,HUAWEI P10 Plus,"我宣布
以后人生的快乐
就是吃饭
和吃完减肥
?火锅?奶茶 2北京·北京大学",1.0,False
12,伴之则暖kx,id=2696645183&refer_flag=1001015010_,"['伴之则暖kx', '微博会员']",?评论,?1,2018-10-13 14:53,iPhone 6 Plus,今日份开心  ??   逛吃逛吃 2北京·北京大学,3.0,False
13,张德卫zdw,id=5862017125&refer_flag=1001015010_,['张德卫zdw'],?评论,?赞,2018-10-13 12:48,华为手机,你还记得吗？曾经我们一起来过这里 2北京·北京大学 L张德卫zdw的秒拍视频,0.0,True
14,鲤梦鱼loveRiRi,id=2486100597&refer_flag=1001015010_,['鲤梦鱼loveRiRi'],? 2,?6,2018-10-13 13:04,,"学习博主上线
最近日常是写作业看书掉头发
在北大生活很艰难了。。基本上午饭都是站着吃的 食堂根本没座位
图书馆周六上午10点已经全满了 好在我是8点多到的 2北京·北京大学",3.0,False
15,何时梦游,id=1784709372&refer_flag=1001015010_,"['何时梦游', '']",?评论,?赞,2018-10-13 13:02,Nokia X6 越级体验,景色依旧美不胜收，百看不厌！ 2北京·北京大学,4.0,False
16,UNO-活在当下,id=1744021031&refer_flag=1001015010_,"['UNO-活在当下', '']",?评论,?1,2018-10-13 12:09,小米Note2 双曲面,Fisrt day 2北京·北京大学,3.0,False
17,WANG-vvvvvvvv,id=3607086097&refer_flag=1001015010_,"['WANG-vvvvvvvv', '微博会员', '熊猫守护者']",?评论,?赞,2018-10-13 19:02,美图T8?双像素黑科技,"舞剧《人生若只如初见》

纳兰的一生

人生若只如初见，何事秋风悲画扇。
等闲变却故人心，却道故人心易变。
骊山语罢清宵半，泪雨霖铃终不怨。 ...展开全文c",4.0,False
18,十二只羊,id=5125045017&refer_flag=1001015010_,['十二只羊'],?评论,?赞,2018-10-13 16:58,HUAWEI Mate 10 Pro,"4搞了两周的实验设计被推翻
没事我还能打！！ 2北京·北京大学",1.0,False
19,做自律的人,id=6435946875&refer_flag=1001015010_,['做自律的人'],?评论,?赞,2018-10-13 14:27,HUAWEI Mate 10,拓展队合影留念 2北京·北京大学,9.0,False
20,一路向北_悟空,id=2120891750&refer_flag=1001015010_,"['一路向北_悟空', '']",?评论,?赞,2018-10-13 14:24,OPPO R15 梦镜版,路过打卡，再往前就是五道口了。 2北京·北京大学,2.0,False
21,阿胶娘娘6464017519,id=6464017519&refer_flag=1001015010_,['阿胶娘娘6464017519'],?评论,?赞,2018-10-13 09:09,,北大精神和中国精神～ 2北京·北京大学,6.0,False
22,_深海长眠,id=1767222704&refer_flag=1001015010_,"['_深海长眠', '熊猫守护者']",?评论,?赞,2018-10-13 16:15,,小说的20世纪已经过去了，它的百科全书功能逐渐被社会科学替代， 它的娱乐休闲功能逐渐被游戏电影等替代……这个世纪，小说不是要死了，而是要还原到它本来的位置上。 2北京·北京大学,1.0,False
23,佳霖霖一点都不方_,id=1584071891&refer_flag=1001015010_,"['佳霖霖一点都不方_', '微博会员']",? 6,?9,2018-10-13 17:38,,躺枪？？？ 2北京·北京大学,2.0,False
24,叠加状态的猫,id=2159156371&refer_flag=1001015010_,['叠加状态的猫'],?评论,?2,2018-10-13 13:24,HUAWEI Mate 10,第一次接触英国超级精英学校 2北京·北京大学,2.0,False
25,蔡凌晟Lucian,id=1574861247&refer_flag=1001015010_,"['蔡凌晟Lucian', '']",? 1,?4,2018-10-13 09:18,,"Day 2.
今天所有人都超级超级棒！！！
初赛就告一段落了 期待决赛
（今日唯一遗憾忘记和自己的选手拍照?
（强推大家去我的INS快拍看今天的精彩表演！！！ 2北京·北京大学",4.0,False
26,好想马上毕业的凡凡凡,id=2340897427&refer_flag=1001015010_,['好想马上毕业的凡凡凡'],?评论,?赞,2018-10-13 19:04,HUAWEI Mate 10 Pro,我点评了2北京·北京大学： 2北京·北京大学,0.0,False
27,我不叫坤坤,id=5218264413&refer_flag=1001015010_,['我不叫坤坤'],?评论,?赞,2018-10-13 18:33,,"矫情死了啊，
一点点难过一点点心疼一点点愧疚一点点终于结束了的放松掺杂着变成强烈的不是滋味又要慢慢咂摸，
那就这样吧，
谢谢和再见。 2北京·北京大学",0.0,False
28,行走的蜗牛1116,id=6426578193&refer_flag=1001015010_,['行走的蜗牛1116'],?评论,?赞,2018-10-13 14:42,微博视频,分享视频 2北京·北京大学 L行走的蜗牛1116的微博视频,0.0,True
29,张萌_萌姐,id=3756237190&refer_flag=1001015010_,"['张萌_萌姐', '', '微博会员']",? 23,?46,2018-10-13 19:00,,刚得知，今晚不让直播，我尽力录，看能不能日后给你们做个剪辑版本 2北京·北京大学,0.0,False
30,胡萝卜hsr,id=3700302752&refer_flag=1001015010_,['胡萝卜hsr'],? 2,?1,2018-10-13 18:29,,"像追剧一样跟着葉子老师学日语?
希望自己也可以做一个能把外语讲得有趣的老师啊 2北京·北京大学",0.0,False
31,Youngmmy,id=6214886906&refer_flag=1001015010_,['Youngmmy'],?评论,?1,2018-10-13 14:02,,排队一小时的农园麻辣香锅 2北京·北京大学,1.0,False
32,张德卫zdw,id=5862017125&refer_flag=1001015010_,['张德卫zdw'],?评论,?赞,2018-10-13 18:16,华为手机,还有一个多月就离开了学校，回忆这三年在学校里的酸甜苦辣的生活，有所收获也有失落，曾经笑过也哭过，不管怎么样，我都不曾后悔过，带着微笑回到自己的家乡 2北京·北京大学,0.0,False
33,PureManLin,id=2729593361&refer_flag=1001015010_,['PureManLin'],? 3,?2,2018-10-13 18:34,荣耀V9 我想要的快,U巨齿鲨，Ruby也太帅了吧 2北京·北京大学,0.0,False
34,秋分过了便夏至,id=2547880952&refer_flag=1001015010_,"['秋分过了便夏至', '微博会员']",?评论,?赞,2018-10-13 07:41,,"这首歌只能试试不配文了……
否则一下子就没惹 2北京·北京大学 L秋分过了便夏至的秒拍视频",0.0,False
35,张德卫zdw,id=5862017125&refer_flag=1001015010_,['张德卫zdw'],?评论,?赞,2018-10-13 18:28,华为手机,我点评了2北京·北京大学： 2北京·中华民族园,0.0,False
