,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
40,是米奇呀米奇呀,id=1940440131&refer_flag=1001015010_,"['是米奇呀米奇呀', '微博会员', '熊猫守护者']",? 3,?7,2018-10-13 10:50,iPhone 7 Plus,"忙碌，圆满。

&这是一条滥竽充数的#MikiOOTD# ） 2北京·清华大学本部",9.0,False
41,小丁丁历险记,id=1932762515&refer_flag=1001015010_,['小丁丁历险记'],?评论,?赞,2018-10-13 13:43,,弥藏乐队真的非常棒?@弥藏乐队 2北京·清华大学本部,4.0,False
42,冷月幽州,id=1939277021&refer_flag=1001015010_,"['冷月幽州', '微博问答答主']",? 2,?赞,2018-10-13 19:43,OnePlus 5T,中东人相貌的小哥在路边抽烟，我仿佛在看一部伊朗电影 2北京·清华大学本部,0.0,False
0,张又尹-,id=1296119100&refer_flag=1001015010_,"['张又尹-', '']",?评论,?赞,2018-10-13 18:20,,秋 2北京·清华大学本部,1.0,False
1,爱吃鸡腿的困困吉,id=1895435333&refer_flag=1001015010_,"['爱吃鸡腿的困困吉', '熊猫守护者']",? 1,?3,2018-10-13 17:44,,周末 2北京·清华大学本部,2.0,False
2,诺奖之虫,id=1775113324&refer_flag=1001015010_,"['诺奖之虫', '', '熊猫守护者']",?评论,?2,2018-10-13 10:42,OPPO R9,纪念#清华大学学生艺术团# 建团六十周年。 2北京·清华大学本部 L诺奖之虫的秒拍视频,0.0,True
3,妙龄童的可爱多q,id=5649855572&refer_flag=1001015010_,"['妙龄童的可爱多q', '熊猫守护者']",?评论,?2,2018-10-13 12:46,HUAWEI P20,有点不想走了 2北京·清华大学本部,9.0,False
4,hi若烁,id=1693379244&refer_flag=1001015010_,['hi若烁'],? 1,?1,2018-10-13 10:30,HUAWEI P20,今日份清华打卡 2北京·清华大学本部,8.0,False
5,SNH48-杨秋水,id=5361825664&refer_flag=1001015010_,['SNH48-杨秋水'],?评论,?赞,2018-10-13 12:06,荣耀V10 我AI的快,就酱紫 2北京·清华大学本部,6.0,False
6,从小爱喝八宝粥,id=3839577579&refer_flag=1001015010_,['从小爱喝八宝粥'],?评论,?赞,2018-10-13 16:18,OnePlus 5T,昨天练了腿，喝了两勺蛋白粉。 2北京·清华大学本部,1.0,False
7,第十七次的远方,id=5768025444&refer_flag=1001015010_,"['第十七次的远方', '熊猫守护者']",? 4,?赞,2018-10-13 17:52,vivo X21屏幕指纹手机,"明天就要见到很喜欢很喜欢的一些人啦~
有点紧张但是开心*:?*???(*??`) 2北京·清华大学本部",0.0,False
8,11-lake,id=6395367286&refer_flag=1001015010_,['11-lake'],?评论,?赞,2018-10-13 15:47,,周末不休息还能干什么… 2北京·清华大学本部,1.0,False
