,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
29,GOOD秦,id=5229894942&refer_flag=1001015010_,['GOOD秦'],?评论,?1,2018-10-09 21:28,,可惜生活没留给我悲伤的时间。 2北京·北京工商大学（良乡校区）,1.0,False
30,Maxine滢1104,id=6089160266&refer_flag=1001015010_,['Maxine滢1104'],? 1,?2,2018-10-09 17:31,,今年12月要考四级的我，哭死在考场 2北京·北京工商大学（良乡校区）,8.0,False
31,该用户将被注销,id=2937944907&refer_flag=1001015010_,"['该用户将被注销', '', '微博会员']",?评论,?8,2018-10-09 21:20,,#青春不怕晒jiu是这么燃# @中国OOH青年广告创意大赛 趁年轻，怒减100斤，卡路里燃起来 2北京·北京工商大学（良乡校区）,2.0,False
32,最最最贫的博主,id=6403696420&refer_flag=1001015010_,['最最最贫的博主'],?评论,?1,2018-10-09 19:57,,滴 卡 2北京·北京工商大学（良乡校区）,1.0,False
33,Memory____-,id=6498477195&refer_flag=1001015010_,['Memory____-'],?评论,?1,2018-10-09 16:58,小米6 拍人更美,～(￣▽￣～)~ 2北京·北京工商大学（良乡校区）,3.0,False
34,没错我就是小轻欣,id=2217662575&refer_flag=1001015010_,"['没错我就是小轻欣', '微博会员', '熊猫守护者']",?评论,?5,2018-10-09 21:53,,画 瘾 2北京·北京工商大学（良乡校区）,1.0,False
35,一粒翁,id=3859525819&refer_flag=1001015010_,"['一粒翁', '微博会员']",?评论,?7,2018-10-09 16:10,,不小心踏入暗夜 一片阒然中隐着滋滋啦啦的电流声 2北京·北京工商大学（良乡校区） L一粒翁的秒拍视频,0.0,True
36,AioZ-,id=2646288443&refer_flag=1001015010_,"['AioZ-', '微博会员', '熊猫守护者']",? 2,?11,2018-10-09 16:11,,? 2北京·北京工商大学（良乡校区）,2.0,False
37,Memory____-,id=6498477195&refer_flag=1001015010_,['Memory____-'],?评论,?赞,2018-10-09 16:57,小米6 拍人更美,分享视频 2北京·北京工商大学（良乡校区） LMemory____-的秒拍视频,0.0,False
38,人11116100830452,id=6100830452&refer_flag=1001015010_,['人11116100830452'],?评论,?赞,2018-10-09 21:22,前后2000万 OPPO R11s,整天浑浑噩噩，无家可安身，什么也没有。无限膨胀的欲望，那里有去处，那里能清醒? 2北京·北京工商大学（良乡校区）,0.0,False
39,ARChenn-成,id=6096029711&refer_flag=1001015010_,"['ARChenn-成', '熊猫守护者']",?评论,?15,2018-10-09 12:57,前后2000万 OPPO R11,风刮得凉嗖嗖!? 2北京·北京工商大学（良乡校区）,5.0,False
40,星空之下Lan,id=3833386046&refer_flag=1001015010_,"['星空之下Lan', '熊猫守护者']",?评论,?赞,2018-10-09 21:04,,学习高精尖知识，脱离愚昧和无知。 2北京·北京工商大学（良乡校区）,0.0,False
41,Vemsky,id=5263606984&refer_flag=1001015010_,"['Vemsky', '微博会员']",?评论,?4,2018-10-09 18:21,,滑滑滑 2北京·北京工商大学（良乡校区）,1.0,False
42,栗子大王不想当咸鱼了,id=2249928674&refer_flag=1001015010_,"['栗子大王不想当咸鱼了', '', '微博会员']",?评论,?2,2018-10-09 11:37,iPhone 6 Plus,?? 2北京·北京工商大学（良乡校区）,3.0,False
0,Memory____-,id=6498477195&refer_flag=1001015010_,['Memory____-'],?评论,?赞,2018-10-09 16:59,小米6 拍人更美,2北京·北京工商大学（良乡校区）,1.0,False
1,幼稚园的幼稚鬼wyx,id=2987516927&refer_flag=1001015010_,"['幼稚园的幼稚鬼wyx', '微博会员', '熊猫守护者']",?评论,?4,2018-10-09 13:11,vivo AI智慧拍照X21,"什么时候有时间
一起吃个饭吧?? 2北京·北京工商大学（良乡校区）",1.0,False
