,name,user_card,titles,comment_num,comment_num,time,device,text,pic_num,video
38,浮光RR,id=6480450563&refer_flag=1001015010_,['浮光RR'],? 7,?赞,2018-09-25 00:19,HUAWEI P20,加另外一个号:Dear我本人    2北京·北京工商大学嘉华学院,0.0,False
39,大嘴巴杨荣,id=2812820144&refer_flag=1001015010_,['大嘴巴杨荣'],? 3,?赞,2018-09-22 19:07,又轻又薄的小米5c,年纪大了，学什么都慢了…… 2北京·北京工商大学嘉华学院,1.0,False
40,JTY想在路上遇到你,id=1615437771&refer_flag=1001015010_,"['JTY想在路上遇到你', '微博会员', '熊猫守护者']",? 1,?2,2018-09-20 10:14,,今天我买到了牛奶 2北京·北京工商大学嘉华学院,2.0,False
41,L-yyyy要早睡,id=5619089115&refer_flag=1001015010_,['L-yyyy要早睡'],? 3,?4,2018-09-20 23:53,,? 2北京·北京工商大学嘉华学院,6.0,False
42,可乐要加冰timi,id=5371332978&refer_flag=1001015010_,['可乐要加冰timi'],? 4,?4,2018-09-20 22:22,,鼓起勇气真的很难的 记得下一次 接住我、 2北京·北京工商大学嘉华学院,2.0,False
43,北京工商大学嘉华学院国协,id=6708491850&refer_flag=1001015010_,"['北京工商大学嘉华学院国协', '微博会员']",?评论,?7,2018-09-18 22:52,iPhone 6s Plus,"#9.18#  9月18日是我国国耻日，值此之际我校国防协会开展跑步献步数活动，9月18日下午三点半由北京工商大学嘉华学院国旗护卫队所组成的跑步队伍在学校环形跑道上热情奔跑，大家统一着装，精神饱满，尽显嘉华学子的青春阳光，更是在国耻之日中展现""勿忘国耻，吾辈自强""的精神。@北京工商大学嘉华学院  ...展开全文c",0.0,True
44,HhhhYue_,id=2925116731&refer_flag=1001015010_,"['HhhhYue_', '熊猫守护者']",? 1,?10,2018-09-18 23:20,,"大四了 学校也修好了
回来解想吃麻辣香锅的馋吧? 2北京·北京工商大学嘉华学院",3.0,False
0,是李晓琳呀,id=6596661071&refer_flag=1001015010_,['是李晓琳呀'],?评论,?4,2018-09-21 21:12,,喜欢赵彤送给我的最喜欢的美女与野兽的专题的耳钉? 2北京·北京工商大学嘉华学院,2.0,False
1,苗苗苗sy,id=1903342535&refer_flag=1001015010_,"['苗苗苗sy', '熊猫守护者']",? 1,?3,2018-09-22 16:09,,考完回家吃饭饭 2北京·北京工商大学嘉华学院,1.0,False
2,浩浩无尘道,id=5384236671&refer_flag=1001015010_,['浩浩无尘道'],? 3,?2,2018-09-22 17:03,小米6 拍人更美,马什么梅??? 2北京·北京工商大学嘉华学院,2.0,False
3,是李晓琳呀,id=6596661071&refer_flag=1001015010_,['是李晓琳呀'],? 9,?4,2018-09-22 16:18,,困死? 2北京·北京工商大学嘉华学院,1.0,False
4,那你说ss,id=5579213441&refer_flag=1001015010_,"['那你说ss', '微博会员']",? 18,?16,2018-09-20 11:52,,榴莲爱好者 2北京·北京工商大学嘉华学院,4.0,False
5,luckilyluckyluck周周周周,id=5390160448&refer_flag=1001015010_,"['luckilyluckyluck周周周周', '微博会员', '熊猫守护者']",?评论,?8,2018-09-21 15:49,,人生第一次志愿者 安排上了? 2北京·北京工商大学嘉华学院,1.0,False
6,Dear江南林雨,id=5826369676&refer_flag=1001015010_,['Dear江南林雨'],?评论,?赞,2018-09-22 10:40,vivo X21屏幕指纹手机,flag立在这 2北京·北京工商大学嘉华学院,2.0,False
7,是李晓琳呀,id=6596661071&refer_flag=1001015010_,['是李晓琳呀'],?评论,?4,2018-09-22 06:54,,分享图片 2北京·北京工商大学嘉华学院,1.0,False
8,不忘初心68342,id=6342246658&refer_flag=1001015010_,['不忘初心68342'],?评论,?1,2018-09-19 16:40,,英朗优惠完7万多 2北京·北京工商大学嘉华学院,4.0,False
9,不忘初心68342,id=6342246658&refer_flag=1001015010_,['不忘初心68342'],?评论,?1,2018-09-19 16:40,,首付1.5万月供一千多 2北京·北京工商大学嘉华学院,3.0,False
